,School-age SNAP participants (from FNS-834),NSLP direct certifications based on SNAP participation, SNAP-participant students in CEP or special provision schools in a non-base year (from FNS-834)
U.S.Total,"14,824","8,977","4,711"
Alabama,294,165,107
Alaska,28,20,8
Arizona,372,210,76
Arkansas,12712517,,
California,"1,605","1,246",249
Colorado,182,149,18
Connecticut,110,63,53
Delaware,52,28,28
District of Columbia,33,5,30
Florida,"1,058",718,302
Georgia,639,313,234
Guam,18,4,9
Hawaii,53,47,3
Idaho,71,53,15
Illinois,654,246,317
Indiana,292,197,65
Iowa,129,96,33
Kansas,98,87,11
Kentucky,216,63,143
Louisiana,303,182,135
Maine,55,39,10
Maryland,226,158,55
Massachusetts,193,81,112
Michigan,438,225,133
Minnesota,164,129,35
Mississippi,212,110,92
Missouri,280,196,62
Montana,37,24,11
Nebraska,64,65,2
Nevada,138,94,14
New Hampshire,31,26.65,0.34
New Jersey,283,205,60
New Mexico,154,58,83
New York,851,460,316
North Carolina,535,369,191
North Dakota,18,12,4
Ohio,543,259,194
Oklahoma,216,171,35
Oregon,221,108,57
Pennsylvania,536,234,225
Rhode Island,44,39,4
South Carolina,279,139,85
South Dakota,34,23,13
Tennessee,356,145,251
Texas,"1,542",877,538
Utah,93,75,3
Vermont,21,13,6
Virginia,294,202,60
Washington,268,219,41
West Virginia,101,45,66
Wisconsin,251,148,95
Wyoming,13,11,2
